"place_id","place_en","place_es","planned_category","zone","app_catalog_status","requested_filename","current_app_image","image_status","image_needed","recommended_asset_count","copy_status","coordinates_status","source_url","source_or_author_to_fill","license_or_permission","notes"
"salt-lake-valley","Salt Lake Valley","Valle de Salt Lake","city","Salt Lake corridor","Active in app","salt-lake-valley.jpg","/images/passenger/around-you/user/salt-lake-valley-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_3418.jpeg; user-owned original optimized to local WebP with metadata stripped."
"wasatch-back","The Wasatch Back","El Wasatch Back","mountain","Salt Lake corridor","Active in app","wasatch-back.jpg","/images/passenger/around-you/user/wasatch-back-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_0338.jpeg; user-owned original optimized to local WebP with metadata stripped."
"downtown-salt-lake-city","Downtown Salt Lake City","Centro de Salt Lake City","city","Salt Lake corridor","Active in app","downtown-salt-lake-city.jpg","/images/passenger/around-you/user/downtown-salt-lake-city-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_0659.jpeg; user-owned original optimized to local WebP with metadata stripped."
"utah-state-capitol","Utah State Capitol","Capitolio del Estado de Utah","history","Salt Lake corridor","Active in app","utah-state-capitol.jpg","/images/passenger/around-you/user/utah-state-capitol-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from renamed utah-state-capitol-night-gardens.jpeg; user-owned hero showing the Capitol grounds and dome, optimized to local WebP with metadata stripped."
"temple-square","Temple Square","Temple Square","culture","Salt Lake corridor","Active in app","temple-square.jpg","/images/passenger/around-you/user/temple-square-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from renamed temple-square-night.jpeg; user-owned hero showing Temple Square architecture, optimized to local WebP with metadata stripped."
"city-creek-canyon","City Creek Canyon","Cañón City Creek","nature","Salt Lake corridor","Active in app","city-creek-canyon.jpg","/images/passenger/around-you/user/city-creek-canyon-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_0976.jpeg; user-owned original optimized to local WebP with metadata stripped."
"liberty-park","Liberty Park","Parque Liberty","culture","Salt Lake corridor","Active in app","liberty-park.jpg","/images/passenger/around-you/user/liberty-park-juan.webp","Own local asset","No","1","Expanded EN/ES copy ready","Active coordinates","","STREEX-owned original — Juan","User-owned original; permission confirmed","Selected from IMG_8789.jpeg; user-owned original optimized to local WebP with metadata stripped."
"university-of-utah","University of Utah","Universidad de Utah","university","Salt Lake corridor","Active in app","university-of-utah.jpg","/images/passenger/around-you/curated/university-of-utah-campus.webp","Curated Commons asset","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:University_of_Utah_Presidents_Circle_.jpg","Wikimedia Commons — MrSchmidt","CC BY-SA 4.0 — attribution and share-alike required","Curated from utah-presidents-circle.jpg; cropped and optimized to metadata-free WebP with the campus architecture clearly visible."
"red-butte-garden","Red Butte Garden","Jardín Red Butte","nature","Salt Lake corridor","Active in app","red-butte-garden.jpg","/images/passenger/around-you/curated/red-butte-garden.webp","Curated Commons asset","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:Red_Butte_Garden2.jpg","Wikimedia Commons — C.Maylett","CC BY-SA 3.0 — attribution and share-alike required","Curated garden interior image; optimized to local WebP with metadata stripped."
"this-is-the-place","This Is The Place Heritage Park","Parque Patrimonial This Is The Place","history","Salt Lake corridor","Active in app","this-is-the-place.jpg","","Original staged — rights recorded","No","1","Expanded EN/ES copy ready","Active coordinates","https://commons.wikimedia.org/wiki/File:This_Is_the_Place_Heritage_Park_(7028655691).jpg","Wikimedia Commons — InSapphoWeTrust from Los Angeles, California, USA","CC BY-SA 2.0 — attribution and share-alike required","Original staged in assets-source/passenger/around-you; rights recorded. Optimize/crop to public WebP in P1.3. Keep one landscape hero image; aim for a 16:9-ish crop, landmark clearly visible, no text overlays or identifiable people as the main subject."
