original_filename,semantic_filename,associated_place,selection_status,notes
IMG_0106.jpeg,utah-state-capitol-night-gardens.jpeg,utah-state-capitol,selected,Replacement hero: night dome with gardens in foreground.
IMG_0244.jpeg,utah-state-capitol-dome.jpeg,utah-state-capitol,selected,Existing Capitol detail retained for future rotation.
IMG_0245.jpeg,utah-state-capitol-detail-02.jpeg,utah-state-capitol,review,Capitol detail retained for future review.
IMG_0264.jpeg,swaner-preserve-wetlands.jpeg,swaner-preserve,selected,Existing hero.
IMG_0335.jpeg,temple-square-spires.jpeg,temple-square,selected,Existing Temple Square hero.
IMG_0338.jpeg,wasatch-back-mountain-view.jpeg,wasatch-back,selected,Existing hero.
IMG_0579.jpeg,lagoon-roller-coaster-02.jpeg,lagoon-amusement-park,review,Retained for future rotation.
IMG_0598.jpeg,ensign-peak-overlook.jpeg,ensign-peak,review,Retained for future review.
IMG_0659.jpeg,downtown-salt-lake-city-street.jpeg,downtown-salt-lake-city,selected,Existing hero.
IMG_0967.jpeg,deer-valley-ski-slopes.jpeg,deer-valley,selected,Existing hero.
IMG_0972.jpeg,deer-valley-ski-terrain-02.jpeg,deer-valley,review,Retained for future rotation.
IMG_0976.jpeg,city-creek-canyon-road.jpeg,city-creek-canyon,selected,Existing hero.
IMG_0996.jpeg,lagoon-roller-coaster-03.jpeg,lagoon-amusement-park,review,Retained for future rotation.
IMG_1038.jpeg,kimball-junction-snowline-02.jpeg,kimball-junction,review,Retained for future rotation.
IMG_1099.JPG,utah-olympic-park-winter.JPG,utah-olympic-park,selected,Existing hero.
IMG_1335.JPG,historic-main-street-portrait.JPG,historic-main-street,review,Retained for future rotation.
IMG_1410.jpeg,the-gateway-plaza-02.jpeg,the-gateway,review,Retained for future rotation.
IMG_1412.jpeg,the-gateway-plaza.jpeg,the-gateway,selected,Existing hero.
IMG_1452.jpeg,deer-valley-mountain-view-03.jpeg,deer-valley,review,Retained for future rotation.
IMG_1902.jpeg,ogden-downtown-01.jpeg,ogden,review,Retained for future rotation.
IMG_2336.jpeg,utah-state-capitol-drive.jpeg,utah-state-capitol,review,Retained for future review.
IMG_2343.jpeg,city-creek-canyon-02.jpeg,city-creek-canyon,review,Retained for future rotation.
IMG_2423.jpeg,salt-lake-valley-02.jpeg,salt-lake-valley,review,Retained for future rotation.
IMG_2568.jpeg,lagoon-amusement-park-night.jpeg,lagoon-amusement-park,selected,Existing hero retained for future rotation.
IMG_2797.jpeg,ogden-downtown-02.jpeg,ogden,review,Retained for future rotation.
IMG_3058.jpeg,temple-square-night.jpeg,temple-square,selected,Replacement hero: ground-level Temple Square night view.
IMG_3403.jpeg,deer-valley-mountain-view-04.jpeg,deer-valley,review,Retained for future rotation.
IMG_3408.jpeg,guardsman-pass.jpeg,guardsman-pass,selected,Existing hero.
IMG_3416.jpeg,swaner-preserve-wetlands-02.jpeg,swaner-preserve,review,Retained for future rotation.
IMG_3418.jpeg,salt-lake-valley.jpeg,salt-lake-valley,selected,Existing hero.
IMG_4516.JPG,park-city.JPG,park-city,selected,Existing hero.
IMG_4721.jpeg,kimball-junction-winter.jpeg,kimball-junction,selected,Existing hero retained for future rotation.
IMG_6319.jpeg,ogden-downtown-03.jpeg,ogden,review,Retained for future rotation.
IMG_6355.jpeg,ogden-downtown-04.jpeg,ogden,review,Retained for future rotation.
IMG_6410.jpeg,ogden-downtown-05.jpeg,ogden,review,Retained for future rotation.
IMG_6445.jpeg,antelope-island-bison-02.jpeg,antelope-island,review,Retained for future rotation.
IMG_6450.jpeg,great-salt-lake-shoreline.jpeg,great-salt-lake,selected,Existing hero.
IMG_6474.jpeg,antelope-island-bison-03.jpeg,antelope-island,review,Retained for future rotation.
IMG_6483.jpeg,antelope-island-bison.jpeg,antelope-island,selected,Existing hero.
IMG_6491.jpeg,antelope-island-bison-04.jpeg,antelope-island,review,Retained for future rotation.
IMG_6717.jpeg,antelope-island-bison-05.jpeg,antelope-island,review,Retained for future rotation.
IMG_8756.jpeg,temple-square-detail-03.jpeg,temple-square,review,Retained for future rotation.
IMG_8782.jpeg,historic-main-street.jpeg,historic-main-street,selected,Existing hero.
IMG_8789.jpeg,liberty-park.jpeg,liberty-park,selected,Existing hero.
